0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Minimum Water Level,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,5.086639641775646,316233290.7471533,27631367.846842468,30700000.0,5970.793469110633,0.08193176568684733
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,3,0,0,6,0,0,4,0,6,7,0,0,5.209459747347631,4991877.732821409,180222130.6415752,30700000.0,97.27262267847162,0.00133602702303938
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.903399342066915,249723017.90700135,20299287.62732069,61400000.0,0.0,0.15467089112436677
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.807121457943559,422580740.17406374,0.0,0.0,7244.081781905735,0.14476671768781685
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,0,0,7,0,1,6,0,0,5.18319235076688,46660194.27164637,159875561.6976249,0.0,0.0,0.033961379152495294
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,2,0,0,4,0,0,4,6,0,3,0,0,5.209459747347631,27143890.60761156,156360441.07080802,0.0,1093.618231301827,0.0024030328474753874
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.82530286737048,172076797.18097585,0.0,151900000.0,0.0,0.13866505553432806
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,4,0,0,7,0,0,7,0,0,5.209459747347631,5562291.068957657,190868896.2340559,0.0,0.0,0.007762904246583241
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5.209459747347631,327189050.38586056,40026981.31368371,61400000.0,11534.604199395068,0.04004373185655591
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.855592117261036,297532136.7292178,0.0,30700000.0,5481.8791989033,0.07924182529916435
0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.194555544207966,281058818.7768591,6320800.309666242,371400000.0,5940.276512624756,0.08086116773504046
0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5.0716016781389035,167344864.82848737,7332080.219521779,182600000.0,2799.2420006615944,0.03969136983604331
