0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Minimum Water Level,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,3,0,0,4,0,0,3,6,3,6,0,0,4.861244667267844,1846641.3233579304,190624310.68368098,30700000.0,0.0,0.0011847460635748162
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,3,0,0,3,0,0,0,1,0,3,0,0,4.861244667267844,24389045.363121852,141407959.46066964,30700000.0,1166.241216732472,0.001507070345452952
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,5,0,0,3,7,3,5,0,0,4.861244667267844,631902.7576253862,154890414.63813728,84600000.0,28.901964508415713,3.3917571059046276e-05
0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.861244667267844,188295812.51895088,0.0,176700000.0,0.0,0.1235692757538114
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.843082515766612,275032610.01113236,0.0,30700000.0,0.0,0.19799358104115009
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,3,0,0,1,4,0,3,0,0,4.825414018544502,45383337.88094623,141836870.33263204,0.0,1481.615374169537,0.005287530367558091
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.810053795893511,412637315.6638541,0.0,0.0,0.0,0.433099030852021
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0,0,5,0,0,3,3,0,4,0,0,4.861244667267844,7401724.325898212,160516459.34526482,0.0,239.24004733983762,0.0008276222049102965
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4.861244667267844,254720076.43159655,7332080.219521779,30700000.0,0.0,0.1904557680585115
0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.861244667267844,250257212.95163158,0.0,92100000.0,0.0,0.15686772520391773
