0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Minimum Water Level,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.5387,161905277.68435946,25037214.086173728,30700000.0,0.0,0.10943317496177794
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4.5387,91607071.5507984,60273131.06181718,61400000.0,0.0,0.07752272261546948
0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5387,149096663.2175225,0.0,176700000.0,0.0,0.09499337953490083
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5387,217032910.30379742,0.0,30700000.0,3685.5718452371316,0.05285918109394726
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.5387,288288906.44743365,6320800.309666242,0.0,4426.192222718635,0.09822055753663009
0,0,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,4.2987,8685597.722101394,70396645.63915303,808400000.0,0.0,0.003278103000099814
0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4187,149821039.35690263,0.0,151900000.0,0.0,0.10427270893389527
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5387,217032910.30379742,0.0,30700000.0,0.0,0.14683105859429796
0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4187,74043406.42231679,0.0,1138000000.0,0.0,0.0605184710524143
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.5387,140923430.7804536,20299287.62732069,115300000.0,0.0,0.0949259713785563
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,4.5387,161445984.31834716,31530112.67088316,0.0,0.0,0.10374072794902862
1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,5,0,0,5,0,0,4.5387,0.0,115887434.71696974,394500000.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.5387,192764860.81388018,20299287.62732069,0.0,2989.9916866611857,0.04830227828824782
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4.5387,154006619.2552846,27578229.96765524,61400000.0,2224.7550914482576,0.04000183829327407
0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.5387,79965107.53439622,25037214.086173728,627500000.0,0.0,0.06853949490949637
0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,3,0,0,3,0,0,4.5387,26443623.704313688,77050055.69075209,309900000.0,986.7894246086321,0.003241112332513805
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.4187,141980222.78433517,6320800.309666242,151900000.0,1893.7009490174917,0.036550147773942596
0,1,1,0,0,0,1,1,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,3,0,0,2,0,0,4.4187,9975346.204899728,74276759.0,894700000.0,196.8801183597296,0.00256343778249302
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.5387,211481515.77381164,20299287.0,61400000.0,7774.660922874049,0.015467873127821975
